source_name,url,language,past_fake,past_real,domain_age_years,followers,credibility_label
Ada Derana,www.adaderana.lk,Sinhala,3,542,12,2026820,High
Hiru News,www.hirunews.lk,Sinhala,5,486,10,1537498,High
NewsFirst,www.newsfirst.lk,Sinhala,4,573,15,1817221,High
BBC Tamil,www.bbc.com/tamil,Tamil,1,1179,19,3455311,High
Thinakkural,www.thinakkural.lk,Tamil,2,375,13,878693,High
Virakesari,www.virakesari.lk,Tamil,0,940,18,1234478,High
TamilWin,www.tamilwin.com,Tamil,11,209,9,317435,Low
Iraivaani,www.iraivaani.com,Tamil,4,102,9,153890,Low
LankaCNews,www.lankacnews.com,Sinhala,10,388,10,360627,Low
GuruTV,www.gurutv.lk,Sinhala,2,258,5,268148,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,2,809,17,767159,Low
The Hindu Tamil,www.hindutamil.in,Tamil,0,885,11,919479,High
Daily Mirror,www.dailymirror.lk,Sinhala,6,453,19,1095758,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,7,463,12,992093,Medium
Eezham News,www.eezhamnews.com,Tamil,12,131,10,193247,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,7,273,9,413704,Medium
Sudar Oli,www.sudaroli.lk,Tamil,5,240,16,301214,Medium
Asian Tribune,www.asiantribune.com,English,6,370,17,512592,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,3,630,16,861858,High
TamilNet,www.tamilnet.com,Tamil,14,90,10,122662,Low
Mawbima,www.mawbima.lk,Sinhala,3,683,10,739135,Medium
Dinamina,www.dinamina.lk,Sinhala,3,698,16,613335,High
TechTamil,www.techtamil.com,Tamil,0,864,11,208110,High
YarlThinakkural,www.yarlthinakkural.com,Tamil,3,254,9,348806,Medium
Uthayan,www.uthayan.com,Tamil,7,458,17,423419,High
Aruna News,www.aruna.lk,Sinhala,0,401,15,587939,Medium
Sooriyan FM,www.sooriyanfm.lk,Tamil,6,664,12,683827,High
IBC Tamil,www.ibctamil.com,Tamil,1,835,15,793585,High
Manoramaa Tamil,www.manoramaonline.com/tamil,Tamil,0,905,8,945259,High
Jaffna Today,www.jaffnatoday.lk,Tamil,4,479,10,468047,Medium
Ada Derana,www.adaderana.lk,Sinhala,3,538,10,1980080,High
Hiru News,www.hirunews.lk,Sinhala,3,476,8,1459474,Low
NewsFirst,www.newsfirst.lk,Sinhala,3,558,17,1847504,High
BBC Tamil,www.bbc.com/tamil,Tamil,1,1173,20,3543557,High
Thinakkural,www.thinakkural.lk,Tamil,2,351,12,901005,Medium
Virakesari,www.virakesari.lk,Tamil,3,861,17,1239474,High
TamilWin,www.tamilwin.com,Tamil,8,205,7,276736,Low
Iraivaani,www.iraivaani.com,Tamil,7,153,9,188623,Low
